,PV,load,EV_availability,EV_time_to_departure
2019-01-03 00:00:00,3.4141977034311153,9903.739175555558,1,11
2019-01-03 01:00:00,5.641847731292398,5546.073657055553,1,10
2019-01-03 02:00:00,4.48830097106813,1737.7757860555553,1,9
2019-01-03 03:00:00,5.5640202628885715,1637.9733210555562,1,8
2019-01-03 04:00:00,5.558680403532319,2091.5313852222234,1,7
2019-01-03 05:00:00,4.410398626997839,1463.0330738333337,1,6
2019-01-03 06:00:00,4.342406710602521,1292.2139984444445,1,5
2019-01-03 07:00:00,61.99650416691574,2599.2849788888884,1,4
2019-01-03 08:00:00,857.4199558893652,1483.7981596666673,1,3
2019-01-03 09:00:00,4609.119465873699,1425.1447338333332,1,2
2019-01-03 10:00:00,5694.535837387063,1332.3711512222224,1,1
2019-01-03 11:00:00,6245.05068258846,1503.9430054444442,0,0
2019-01-03 12:00:00,5770.367469022089,2428.960460888888,0,0
2019-01-03 13:00:00,4781.932851902266,3055.2449515000008,0,0
2019-01-03 14:00:00,1721.701963475962,2662.9442311111115,0,0
2019-01-03 15:00:00,101.4772739490082,2355.862646277779,0,0
2019-01-03 16:00:00,11.067381423047133,2320.087550666667,0,0
2019-01-03 17:00:00,9.956249304535351,2649.9038074444443,0,0
2019-01-03 18:00:00,5.529358171184466,3162.6723030000007,0,0
2019-01-03 19:00:00,4.373300670785175,3064.2370888888895,1,22
2019-01-03 20:00:00,6.75371793945256,3281.601276722223,1,21
2019-01-03 21:00:00,2.275260996104171,5054.073358444445,1,20
2019-01-03 22:00:00,16.895768187721277,6157.482551111113,1,19
2019-01-03 23:00:00,6.899971871545251,5432.584278333335,1,18
2019-01-04 00:00:00,0.0,6649.2753417222175,1,17
2019-01-04 01:00:00,3.24446635644526,4325.666397500003,1,16
2019-01-04 02:00:00,6.651835043583942,1808.2414171111118,1,15
2019-01-04 03:00:00,5.549469664428421,1651.9463072777774,1,14
2019-01-04 04:00:00,10.96701473039056,1902.905641388888,1,13
2019-01-04 05:00:00,4.339518388374802,1318.9213551111106,1,12
2019-01-04 06:00:00,4.298024293649894,1090.1119708888891,1,11
2019-01-04 07:00:00,73.36868731038547,2241.645192499999,1,10
2019-01-04 08:00:00,445.5161590958742,2691.455531722222,1,9
2019-01-04 09:00:00,4885.103183003666,2687.3055358333336,1,8
2019-01-04 10:00:00,6310.917391336106,1744.3088887777778,1,7
2019-01-04 11:00:00,3763.4163526066577,2509.844817666666,1,6
2019-01-04 12:00:00,4110.1246769977215,2123.5426850555555,1,5
2019-01-04 13:00:00,4856.045443497429,2733.707594722222,1,4
2019-01-04 14:00:00,1828.5860794588157,2261.5910142777766,1,3
2019-01-04 15:00:00,107.69226701964001,1589.1312317222223,1,2
2019-01-04 16:00:00,5.242512786776504,3202.689943055555,1,1
2019-01-04 17:00:00,5.323768125407645,4727.683462833332,0,0
2019-01-04 18:00:00,3.1657298660637387,6099.300704000001,0,0
2019-01-04 19:00:00,1.065848427066918,4166.119758888889,1,23
2019-01-04 20:00:00,8.173471104551329,3241.717050055556,1,22
2019-01-04 21:00:00,1.0885910720511727,5869.304303722221,1,21
2019-01-04 22:00:00,6.950633975491206,9302.30668072222,1,20
2019-01-04 23:00:00,8.04438816953639,5476.944734722221,1,19
2019-01-05 00:00:00,0.0,6571.172459055562,1,18
2019-01-05 01:00:00,4.557930200726975,5804.863289166664,1,17
2019-01-05 02:00:00,0.0,5688.506297833334,1,16
2019-01-05 03:00:00,5.502658016871742,2168.930376277779,1,15
2019-01-05 04:00:00,2.134658613608104,1743.3037327222223,1,14
2019-01-05 05:00:00,3.235056986133249,1189.0944632777773,1,13
2019-01-05 06:00:00,7.4222945612391875,1821.2910275,1,12
2019-01-05 07:00:00,58.99212767911226,2886.268556111111,1,11
2019-01-05 08:00:00,851.9314980421454,3166.98932511111,1,10
2019-01-05 09:00:00,4588.984898699123,2998.779110444444,1,9
2019-01-05 10:00:00,5769.517388118611,2167.7501163888887,1,8
2019-01-05 11:00:00,6287.925628366332,6219.732240555554,1,7
2019-01-05 12:00:00,5951.423525830303,1860.3355788888884,1,6
2019-01-05 13:00:00,4833.833565464947,4283.047363000001,1,5
2019-01-05 14:00:00,1875.4437800069147,2348.264673222222,1,4
2019-01-05 15:00:00,107.12593383695642,1985.2089708888896,1,3
2019-01-05 16:00:00,16.772683408114446,3365.2701253888895,1,2
2019-01-05 17:00:00,0.0,3864.216830444444,1,1
2019-01-05 18:00:00,16.781131379054937,4337.622216277778,0,0
2019-01-05 19:00:00,2.136710110893377,5253.024472500001,1,19
2019-01-05 20:00:00,0.0,4401.107550388888,1,18
2019-01-05 21:00:00,8.129098086736551,4849.801711611111,1,17
2019-01-05 22:00:00,0.0,7482.792467111114,1,16
2019-01-05 23:00:00,2.147403517348593,5326.860705055557,1,15
2019-01-06 00:00:00,6.794659708120109,4687.809890555553,1,14
2019-01-06 01:00:00,9.210846194527626,4582.878826555555,1,13
2019-01-06 02:00:00,6.63655187994796,1682.1992005,1,12
2019-01-06 03:00:00,8.841631389955449,1017.0436247222223,1,11
2019-01-06 04:00:00,7.78861450427,2219.7551160555568,1,10
2019-01-06 05:00:00,5.563935325471644,1793.956216111112,1,9
2019-01-06 06:00:00,7.692427618143625,1625.9331631666666,1,8
2019-01-06 07:00:00,29.302823528824874,3317.3565961666677,1,7
2019-01-06 08:00:00,402.7125102244421,2079.2649391111113,1,6
2019-01-06 09:00:00,728.8691763899096,1613.3005688333328,1,5
2019-01-06 10:00:00,1250.5309282425246,1344.1104288888891,1,4
