,pv,load,pv_ev,pv_load,pv_grid,grid_ev,grid_load,soc,avail,episode
2020-09-23 17:00:00,24.39030677,662.5405028,0.0,24.39030677,0.0,0.0,638.15019603,1.0,0,13
2020-09-23 18:00:00,0.0,895.0334262,0.0,0.0,0.0,0.0,895.0334262,0.3,1.0,14.0
2020-09-23 19:00:00,0.0,827.8493724,0.0,0.0,0.0,0.0,827.8493724,0.3,1.0,14.0
2020-09-23 20:00:00,0.0,736.2747559,0.0,0.0,0.0,0.0,736.2747559,0.3,1.0,14.0
2020-09-23 21:00:00,0.0,856.5969317,0.0,0.0,0.0,0.0,856.5969317,0.3,1.0,14.0
2020-09-23 22:00:00,1.306926504,828.2304469,0.0,1.306926504,0.0,1.0880185641326534e-14,826.923520396,0.3,1.0,14.0
2020-09-23 23:00:00,1.29629424,674.7136872000001,0.0,1.29629424,0.0,4.796163466380676e-14,673.4173929600001,0.3,1.0,14.0
2020-09-24 00:00:00,0.0,839.777933,0.0,0.0,0.0,0.0,839.777933,0.3,1.0,14.0
2020-09-24 01:00:00,2.680037851,841.9832636,0.0,2.680037851,0.0,4.796163466380676e-14,839.303225749,0.3,1.0,14.0
2020-09-24 02:00:00,0.0,685.1794159,0.0,0.0,0.0,0.0,685.1794159,0.3,1.0,14.0
2020-09-24 03:00:00,0.0,883.4435146,0.0,0.0,0.0,0.0,883.4435146,0.3,1.0,14.0
2020-09-24 04:00:00,1.289962364,802.650904,-1.8918200339612667e-13,1.2899623640001892,0.0,3.8191672047105385e-14,801.3609416359998,0.3,1.0,14.0
2020-09-24 05:00:00,53.75102135,700.9441341,-8.526512829121202e-14,53.75102135000009,0.0,2.842170943040401e-14,647.19311275,0.3,1.0,14.0
2020-09-24 06:00:00,560.11501,626.5851955,0.0,560.11501,0.0,0.0,66.47018550000007,0.3,1.0,14.0
2020-09-24 07:00:00,2620.355166,679.25,1941.1051659999998,679.25,0.0,2e-05,0.0,0.3,1.0,14.0
2020-09-24 08:00:00,2978.665058,716.7116992000001,2261.9533588,716.7116992000001,0.0,2e-05,0.0,0.41525311923124997,1.0,14.0
